ФИО;Паспорт;СНИЛС;Симптомы;Врач;Дата визита;Анализы;Дата получения;Стоимость;Карта;Повторный прием
Федоров Тимофей Степанович;26 38 423406;454-633-795 42;вздутие;Гастроэнтеролог;2024-04-22T09:00;биохимический анализ крови + ФГДС + общий анализ крови;2024-04-23T09:00;7200 руб.;TINKOFF BANK | MASTERCARD | 7662 9546 4275 7181;2024-04-24T10:00
Артемьев Федор Кириллович;AB9663518;206-806-187 79;нарушения сна;Психиатр;2024-02-23T15:00;общий анализ крови;2024-02-26T11:00;850 руб.;SBERBANK OF RUSSIA | MIR | 7203 6218 9208 6123;2024-02-27T12:00
Краснов Дамир Андреевич;51 82 157247;324-302-438 95;уплотнения, хроническая усталость, длительная боль;Онколог;2024-12-17T08:00;общий анализ крови + онкомаркеры;2024-12-19T11:30;3250 руб.;MTS BANK | MIR | 9420 5607 8773 9213;2024-12-20T12:30
Казаков Вадим Данилович;35 58 547708;143-629-673 53;трудности произношения, напряжение голоса;Логопед;2024-05-10T10:00;психодиагностика;2024-05-13T14:30;5000 руб.;VTB BANK | MIR | 5708 4289 6073 2578;2024-05-14T15:30
Пономарев Харитон Тимурович;N54464875;485-226-475 22;изменение аппетита, вздутие, тошнота;Гастроэнтеролог;2024-06-13T17:00;ФГДС + биохимический анализ крови;2024-06-17T17:00;6350 руб.;VTB BANK | MIR | 6048 6867 1266 2019;2024-06-18T18:00
Пахомов Савва Ростиславович;69 59 329320;558-531-243 97;нарушение чувствительности, замедленная реакция, головная боль;Невролог;2024-09-09T08:00;общий анализ крови;2024-09-11T18:00;850 руб.;TINKOFF BANK | MIR | 7366 8694 1510 8126;2024-09-12T16:30
Тихонов Сергей Макарович;88 41 219118;798-350-702 55;ломота в теле, снижение энергии;Терапевт;2024-12-23T12:00;биохимический анализ крови;2024-12-25T15:00;850 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3927 5067 3138 3028;2024-12-26T16:00
Пахомов Филипп Захарович;AB9069368;582-847-604 60;усталость, снижение энергии, проблемы с весом;Диетолог;2024-04-08T12:00;глюкоза крови;2024-04-10T12:00;260 руб.;VTB BANK | MIR | 5712 2460 7437 3172;2024-04-11T13:00
Блинов Григорий Евгеньевич;AB7745922;273-563-382 74;мышечная слабость, замедленное восстановление;Реабилитолог;2024-06-27T11:00;механотерапия;2024-07-01T12:00;600 руб.;GAZPROMBANK | MASTERCARD | 9990 6154 2436 3797;2024-07-02T13:00
Рябов Клим Глебович;85 17 900256;997-979-196 37;слабость;Нефролог;2024-10-21T17:00;общий анализ мочи + УЗИ почек и мочевого пузыря;2024-10-23T17:30;2790 руб.;VTB BANK | MASTERCARD | 5127 1288 3782 7457;2024-10-24T18:30
Горшков Даниил Юрьевич;33 88 722528;253-997-529 53;нарушение питания, снижение энергии, пищевой дискомфорт;Диетолог;2024-04-08T14:00;общий анализ мочи;2024-04-10T09:00;290 руб.;TINKOFF BANK | MASTERCARD | 4058 6923 2536 2843;2024-04-11T10:00
Медведев Денис Глебович;80 96 692016;394-919-149 44;эмоциональное напряжение, трудности расслабления, выгорание;Психотерапевт;2024-04-08T15:00;ЭЭГ + общий анализ крови + психодиагностика;2024-04-11T16:30;7650 руб.;VTB BANK | MIR | 1890 9239 9224 9713;2024-04-12T17:30
Князев Харитон Семенович;29 40 998453;475-809-821 15;замедленная реакция, мышечные подергивания;Невролог;2024-02-07T17:00;МРТ головного мозга;2024-02-09T16:00;7500 руб.;TINKOFF BANK | MIR | 3549 8601 5909 5494;2024-02-12T17:00
Верховцев Григорий Станиславович;56 48 108064;785-927-655 45;плохой набор веса, вялость, нестабильное дыхание;Неонатолог;2024-05-16T16:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-05-20T10:00;1990 руб.;GAZPROMBANK | MIR | 3318 2045 3756 6546;2024-05-21T11:00
Никитин Арсений Константинович;13 53 510529;244-562-484 19;стресс, трудности расслабления, эмоциональное напряжение;Психотерапевт;2024-04-18T08:00;психодиагностика + общий анализ крови;2024-04-22T15:30;5850 руб.;VTB BANK | VISA | 6561 1375 6925 1676;2024-04-23T16:30
Климов Федор Григорьевич;38 72 157209;936-419-701 68;слабость, ломота в теле;Терапевт;2024-04-19T15:00;общий анализ мочи + биохимический анализ крови;2024-04-22T11:00;1140 руб.;GAZPROMBANK | MASTERCARD | 4692 6711 1114 2825;2024-04-23T12:00
Демьянов Глеб Коновалович;AB3837702;835-573-324 49;жажда, усталость;Эндокринолог;2024-04-02T15:00;глюкоза крови + ТТГ + анализ на гормоны щитовидной железы;2024-04-03T14:00;2170 руб.;GAZPROMBANK | VISA | 2291 4066 2095 8486;2024-04-04T15:00
Доронин Геннадий Александрович;13 82 405591;703-492-512 38;заикание;Логопед;2024-06-19T17:00;психодиагностика;2024-06-21T15:00;5000 руб.;TINKOFF BANK | MIR | 8851 8102 7437 5636;2024-06-24T16:00
Корнилов Александр Коновалович;N44048974;792-571-316 78;резкая одышка, ухудшение переносимости нагрузки;Кардиохирург;2024-08-14T17:00;эхокардиография + коагулограмма;2024-08-16T16:30;5300 руб.;SBERBANK OF RUSSIA | MASTERCARD | 4804 6446 7175 9922;2024-08-19T17:30
Добрынин Филипп Петрович;30 13 147055;477-912-652 79;изменение аппетита;Гастроэнтеролог;2024-06-10T12:00;общий анализ крови + ФГДС + биохимический анализ крови;2024-06-11T11:00;7200 руб.;GAZPROMBANK | MASTERCARD | 4485 9435 5137 2506;2024-06-12T12:00
Агеев Радимир Ильич;55 74 562258;218-119-243 97;синяки, ограничение подвижности;Травматолог;2024-02-20T15:00;общий анализ крови + рентген сустава + МРТ сустава;2024-02-23T16:30;8850 руб.;VTB BANK | MIR | 6188 1613 3151 3691;2024-02-26T17:30
Егоров Никита Ростиславович;AB1913151;409-223-823 80;першение в горле, заложенность;Лор;2024-03-06T10:00;общий анализ крови + аудиометрия + мазок из зева;2024-03-11T10:30;2850 руб.;GAZPROMBANK | MIR | 6457 3650 4451 3073;2024-03-12T11:30
Кондратов Тарас Захарович;37 93 783463;818-227-526 58;нарушение чувствительности, головная боль;Невролог;2024-01-05T10:00;общий анализ крови + МРТ головного мозга;2024-01-08T11:00;8350 руб.;GAZPROMBANK | MASTERCARD | 1139 8103 7014 2700;2024-01-09T12:00
Беляков Ратмир Григорьевич;72 96 196819;405-538-493 49;врожденные особенности;Генетик;2024-03-22T13:00;общий анализ крови + генетический анализ;2024-03-25T12:00;12850 руб.;TINKOFF BANK | MASTERCARD | 6617 8375 9580 8565;2024-03-26T13:00
Селиванов Тимур Викторович;30 92 849599;489-599-686 94;дискомфорт в животе;Гастроэнтеролог;2024-06-04T08:00;ФГДС + биохимический анализ крови;2024-06-05T11:00;6350 руб.;TINKOFF BANK | MASTERCARD | 8065 5478 8172 7574;2024-06-06T12:00
Сорокин Кузьма Валерьевич;22 45 219894;880-966-784 58;тошнота;Гастроэнтеролог;2024-07-02T14:00;общий анализ крови + ФГДС;2024-07-04T10:00;6350 руб.;TINKOFF BANK | MASTERCARD | 9802 2135 9479 9898;2024-07-05T11:00
Богданов Тимофей Антонович;62 59 261351;652-564-906 48;заложенность, першение в горле;Лор;2024-04-22T08:00;мазок из зева;2024-04-23T16:30;800 руб.;MTS BANK | VISA | 3771 6720 8019 6175;2024-04-24T17:30
Савельев Даниил Ильич;AB2083969;668-125-442 23;плохой набор веса, частые срыгивания, нестабильное дыхание;Неонатолог;2024-11-18T12:00;общий анализ мочи + биохимический анализ крови + общий анализ крови;2024-11-20T16:00;1990 руб.;SBERBANK OF RUSSIA | MIR | 5775 2648 7857 1977;2024-11-21T17:00
Шубин Арсений Григорьевич;72 93 815261;212-697-859 11;стресс, трудности расслабления, эмоциональное напряжение;Психотерапевт;2024-09-26T14:00;общий анализ крови + психодиагностика + ЭЭГ;2024-09-30T17:30;7650 руб.;TINKOFF BANK | MASTERCARD | 2381 3521 7568 4007;2024-10-01T18:30
Бобров Василий Егорович;23 79 432922;162-111-959 81;неустойчивость, мышечные подергивания, замедленная реакция;Невролог;2024-09-25T11:00;МРТ головного мозга + общий анализ крови;2024-09-27T08:00;8350 руб.;TINKOFF BANK | MASTERCARD | 4173 4767 4758 6318;2024-09-30T09:00
Галкинов Гордей Ильич;50 48 645320;614-942-254 62;заложенность, дискомфорт в носоглотке;Лор;2024-06-10T11:00;мазок из зева + общий анализ крови;2024-06-13T08:00;1650 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8066 8793 9482 3599;2024-06-14T09:00
Костин Федор Алексеевич;50 50 477013;859-609-342 42;стеснение в груди, дыхательный дискомфорт;Пульмонолог;2024-11-22T13:00;рентген грудной клетки;2024-11-25T12:00;1200 руб.;SBERBANK OF RUSSIA | MIR | 4401 6118 2755 6054;2024-11-26T13:00
Николаев Денис Давидович;90 36 538115;497-704-855 97;заикание, замедленная речь, трудности произношения;Логопед;2024-04-26T13:00;общий анализ крови + аудиометрия;2024-04-29T18:00;2050 руб.;GAZPROMBANK | VISA | 7548 9452 9703 1654;2024-04-30T16:00
Селиванов Лев Сергеевич;N48434652;705-809-199 51;боль в пояснице, отеки, слабость;Нефролог;2024-01-23T10:00;УЗИ почек и мочевого пузыря + бактериологический посев мочи;2024-01-24T10:00;3400 руб.;VTB BANK | MASTERCARD | 5573 8618 3875 2810;2024-01-25T11:00
Смирнов Павел Константинович;41 90 436424;166-569-195 88;хронические боли, ограничение подвижности, замедленное восстановление;Физиотерапевт;2024-08-28T15:00;дарсонвализация + ультразвуковая терапия;2024-08-30T17:00;950 руб.;VTB BANK | MIR | 4615 2446 8989 7858;2024-09-02T18:00
Давыдов Никита Валерьевич;N17121994;387-890-181 20;покраснение, острая локальная боль;Хирург;2024-11-05T15:00;УЗИ органов брюшной полости;2024-11-07T13:30;2500 руб.;TINKOFF BANK | MIR | 5237 6387 2045 9148;2024-11-08T14:30
Большаков Даниил Кириллович;99 14 999459;484-372-640 94;атипичные проявления;Генетик;2024-05-07T13:00;генетический анализ + общий анализ крови;2024-05-10T13:30;12850 руб.;VTB BANK | MASTERCARD | 1208 6781 3111 3826;2024-05-13T14:30
Доронин Харитон Артемьевич;N35940197;180-635-663 82;дискомфорт в животе, тяжесть после еды;Гастроэнтеролог;2024-04-05T16:00;биохимический анализ крови + общий анализ крови;2024-04-08T18:00;1700 руб.;GAZPROMBANK | MIR | 1531 8855 2096 8705;2024-04-09T11:30
Тетерин Макар Владиславович;45 93 583247;799-421-915 81;отказ от еды, вялость, кашель;Педиатр;2024-07-26T08:00;общий анализ мочи + общий анализ крови;2024-07-29T11:00;1140 руб.;GAZPROMBANK | MIR | 6314 3844 4455 6037;2024-07-30T12:00
Афанасьев Лев Антонович;12 29 177706;645-144-403 10;ограничение подвижности, деформация;Травматолог;2024-01-08T10:00;рентген сустава + общий анализ крови;2024-01-10T15:00;2350 руб.;SBERBANK OF RUSSIA | MIR | 9377 4073 9789 1686;2024-01-11T16:00
Белов Геннадий Львович;62 36 936642;710-140-284 58;перебои сердечного ритма, дискомфорт в груди, головокружение;Кардиолог;2024-07-22T11:00;общий анализ крови + коагулограмма;2024-07-24T11:00;1650 руб.;GAZPROMBANK | MASTERCARD | 6003 3579 9736 6861;2024-07-25T12:00
Михеев Егор Тимурович;N23945776;341-303-901 34;утомляемость, снижение подвижности;Реабилитолог;2024-12-20T09:00;общий анализ крови + механотерапия + консультация врача-реабилитолога;2024-12-23T10:00;6050 руб.;VTB BANK | MIR | 7827 7863 6922 3489;2024-12-24T11:00
Трофимов Аркадий Аркадьевич;97 60 925706;250-474-771 69;дискомфорт в животе, вздутие;Гастроэнтеролог;2024-05-22T13:00;ФГДС + биохимический анализ крови;2024-05-24T13:00;6350 руб.;TINKOFF BANK | MASTERCARD | 8065 4283 8677 9003;2024-05-27T14:00
Хохлов Виталий Елисеевич;N82970933;225-455-889 75;перепады настроения, нарушения сна;Психиатр;2024-10-21T12:00;общий анализ крови + биохимический анализ крови;2024-10-22T11:30;1700 руб.;VTB BANK | MASTERCARD | 5497 3737 9131 3257;2024-10-23T12:30
Киселев Мирон Давидович;79 51 173069;515-538-809 94;стеснение в груди, ощущение нехватки воздуха;Пульмонолог;2024-08-22T16:00;общий анализ крови + спирометрия;2024-08-26T10:00;2650 руб.;TINKOFF BANK | MIR | 3758 5097 7266 2443;2024-08-27T11:00
Демидов Яков Геннадьевич;18 10 434681;704-435-795 37;дискомфорт в животе, тяжесть после еды;Гастроэнтеролог;2024-08-23T12:00;биохимический анализ крови + общий анализ крови + ФГДС;2024-08-26T17:00;7200 руб.;GAZPROMBANK | MIR | 4491 6909 4704 4917;2024-08-27T18:00
Силин Корней Павлович;58 53 491877;889-959-211 88;перепады настроения, апатия, нарушения сна;Психиатр;2024-08-05T09:00;общий анализ крови + психодиагностика;2024-08-06T16:00;5850 руб.;GAZPROMBANK | MASTERCARD | 9704 9431 1145 8266;2024-08-07T17:00
Калашников Ратмир Алексеевич;18 67 375970;648-191-788 61;напряжение голоса, трудности произношения, заикание;Логопед;2024-06-21T09:00;психодиагностика;2024-06-24T17:00;5000 руб.;TINKOFF BANK | MASTERCARD | 4604 6237 4573 5361;2024-06-25T18:00
Новиков Иван Ростиславович;11 27 235417;359-117-269 66;подозрение на внутренние изменения;Эндоскопист;2024-07-08T14:00;общий анализ крови + ФГДС;2024-07-09T18:00;6350 руб.;GAZPROMBANK | MIR | 5218 6874 5763 3309;2024-07-10T17:00
Белов Никита Елисеевич;23 47 738857;719-546-238 35;дискомфорт после еды, подозрение на внутренние изменения;Эндоскопист;2024-03-25T15:00;ФГДС + общий анализ крови;2024-03-28T15:00;6350 руб.;SBERBANK OF RUSSIA | MASTERCARD | 2095 1542 4311 4136;2024-03-29T16:00
Макаров Александр Павлович;34 66 724441;368-889-193 83;снижение активности, вялость, нестабильное дыхание;Неонатолог;2024-03-19T12:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-03-21T13:30;1990 руб.;TINKOFF BANK | MIR | 1687 4758 9764 1792;2024-03-22T14:30
Данилов Пётр Коновалович;N33095006;484-913-849 19;нарушение терморегуляции, усталость;Эндокринолог;2024-01-04T15:00;ТТГ;2024-01-05T17:00;410 руб.;VTB BANK | MIR | 3740 6941 7869 8201;2024-01-08T18:00
Горбунов Леонид Арсеньевич;96 85 874794;420-953-512 85;неприятный запах, воспаление десен, отек;Стоматолог;2024-09-09T11:00;общий анализ крови + биохимический анализ крови + рентген зубов;2024-09-11T17:00;2400 руб.;TINKOFF BANK | MASTERCARD | 3924 9578 2285 2844;2024-09-12T18:00
Назаров Николай Степанович;AB8067161;228-838-382 80;наследственные риски;Генетик;2024-06-07T14:00;генетический анализ + биохимический анализ крови;2024-06-10T15:30;12850 руб.;VTB BANK | MASTERCARD | 9854 6748 1269 9637;2024-06-11T16:30
Агапов Леон Захарович;79 34 579713;189-128-415 77;напряжение глаз, сухость;Офтальмолог;2024-12-25T09:00;офтальмоскопия;2024-12-27T12:00;600 руб.;GAZPROMBANK | MIR | 7656 8197 5143 8981;2024-12-30T13:00
Соболев Игорь Евгеньевич;24 34 536592;633-303-394 51;боль после повреждения, деформация;Травматолог;2024-04-18T14:00;МРТ сустава + общий анализ крови + рентген сустава;2024-04-22T10:00;8850 руб.;GAZPROMBANK | MIR | 7751 3532 9391 2123;2024-04-23T11:00
Гаврилов Виктор Эдуардович;75 27 503442;498-505-711 34;вздутие, дискомфорт в животе;Гастроэнтеролог;2024-06-18T12:00;ФГДС + общий анализ крови + биохимический анализ крови;2024-06-20T11:00;7200 руб.;SBERBANK OF RUSSIA | MIR | 7700 9260 3106 6861;2024-06-21T12:00
Артемьев Тимур Макарович;75 75 461678;825-620-321 83;вялость, плохой набор веса, нестабильное дыхание;Неонатолог;2024-03-18T11:00;общий анализ мочи + общий анализ крови + биохимический анализ крови;2024-03-21T14:00;1990 руб.;SBERBANK OF RUSSIA | MIR | 5493 1457 8353 2823;2024-03-22T15:00
Алексееев Гордей Захарович;81 71 453561;751-156-551 89;головокружение;Кардиолог;2024-02-12T14:00;общий анализ крови + ЭКГ + эхокардиография;2024-02-14T12:00;6850 руб.;VTB BANK | MIR | 9208 2617 3817 7991;2024-02-15T13:00
Княжевич Валерий Петрович;19 98 332071;574-946-234 28;выраженная боль в груди;Кардиохирург;2024-11-18T16:00;ЭКГ + коагулограмма + эхокардиография;2024-11-21T14:30;6800 руб.;SBERBANK OF RUSSIA | MASTERCARD | 8476 7678 4827 3821;2024-11-22T15:30
Денисов Пётр Валерьевич;48 67 258333;298-375-163 65;нестабильный пульс;Кардиохирург;2024-03-12T15:00;ЭКГ + коагулограмма;2024-03-15T13:00;2300 руб.;TINKOFF BANK | MIR | 4745 1374 1654 1050;2024-03-18T14:00
Ширяев Святослав Ярославович;11 78 547914;496-313-167 59;мышечная слабость, скованность, утомляемость;Реабилитолог;2024-05-13T08:00;общий анализ крови + консультация врача-реабилитолога;2024-05-15T16:00;5450 руб.;GAZPROMBANK | MIR | 3309 9325 5128 6520;2024-05-16T17:00
Корнилов Семен Артемьевич;AB8205442;523-565-128 63;снижение аппетита, необъяснимая потеря веса, уплотнения;Онколог;2024-05-02T14:00;онкомаркеры + биохимический анализ крови;2024-05-06T11:00;3250 руб.;TINKOFF BANK | MIR | 8343 9382 8507 4049;2024-05-07T12:00
Зимин Всеволод Валерьевич;AB1151175;259-381-801 53;повышенная температура, сыпь;Педиатр;2024-02-19T17:00;биохимический анализ крови + общий анализ мочи + общий анализ крови;2024-02-22T14:00;1990 руб.;MTS BANK | MASTERCARD | 3100 5776 8161 6448;2024-02-23T15:00
Бирюков Ратмир Васильевич;AB3568032;814-734-542 68;уплотнения, длительная боль, хроническая усталость;Онколог;2024-06-10T13:00;общий анализ крови + онкомаркеры;2024-06-12T10:00;3250 руб.;SBERBANK OF RUSSIA | MIR | 7602 5255 8254 4598;2024-06-13T11:00
Воронцов Олег Ильич;27 77 990676;663-100-311 43;воспаление десен, чувствительность, неприятный запах;Стоматолог;2024-01-15T15:00;рентген зубов;2024-01-17T13:00;700 руб.;SBERBANK OF RUSSIA | MASTERCARD | 3828 8957 9905 2006;2024-01-18T14:00
Игнатьев Олег Русланович;55 31 618463;417-303-713 82;отечность, слезоточивость;Аллерголог;2024-02-19T17:00;аллергопробы + общий анализ крови + биохимический анализ крови;2024-02-21T09:30;3700 руб.;GAZPROMBANK | MASTERCARD | 3356 7865 2775 8632;2024-02-22T10:30
Костин Алексей Витальевич;25 43 731887;929-464-380 80;затрудненное дыхание, дыхательный дискомфорт;Пульмонолог;2024-12-04T09:00;общий анализ крови;2024-12-05T10:00;850 руб.;VTB BANK | MIR | 6766 8742 5500 8761;2024-12-06T11:00
Вавилов Лев Александрович;20 74 469265;533-669-532 16;боль в пояснице, слабость, отеки;Нефролог;2024-12-16T10:00;бактериологический посев мочи;2024-12-19T14:00;900 руб.;SBERBANK OF RUSSIA | MIR | 4010 9993 4505 6382;2024-12-20T15:00
Петров Иван Тимофеевич;54 67 257531;938-264-173 87;частые срыгивания, вялость, нестабильное дыхание;Неонатолог;2024-01-22T09:00;общий анализ крови + биохимический анализ крови + общий анализ мочи;2024-01-24T11:00;1990 руб.;VTB BANK | MIR | 6102 7783 3040 5552;2024-01-25T12:00
Сергеев Гордей Федорович;48 54 320269;255-248-713 74;системные нарушения;Генетик;2024-06-12T11:00;биохимический анализ крови + генетический анализ + общий анализ крови;2024-06-14T10:00;13700 руб.;VTB BANK | MASTERCARD | 2137 7483 5830 3554;2024-06-17T11:00
Доронин Николай Юрьевич;AB1209322;891-634-773 77;дискомфорт при ходьбе, скованность движений;Ортопед;2024-07-04T11:00;рентген грудной клетки + общий анализ крови + МРТ позвоночника;2024-07-08T15:30;8550 руб.;GAZPROMBANK | MIR | 6305 7062 6005 7450;2024-07-09T16:30
Анисимов Мирон Тимофеевич;92 36 133528;774-863-232 38;сыпь, повышенная температура;Педиатр;2024-05-07T09:00;общий анализ мочи + общий анализ крови;2024-05-09T17:00;1140 руб.;VTB BANK | MIR | 1942 4543 1157 1913;2024-05-10T18:00
Агапов Давид Сергеевич;73 93 791123;239-440-827 84;усталость, снижение энергии;Диетолог;2024-11-11T16:00;биохимический анализ крови + общий анализ мочи;2024-11-13T10:00;1140 руб.;MTS BANK | MASTERCARD | 7647 3331 3036 4788;2024-11-14T11:00
Копылов Николай Коновалович;27 12 613661;465-536-457 96;отек, деформация, боль после повреждения;Травматолог;2024-01-22T10:00;рентген сустава;2024-01-24T11:00;1500 руб.;MTS BANK | MIR | 4702 8997 6312 1533;2024-01-25T12:00
Данилов Арсений Николаевич;47 58 200282;740-157-486 20;тревожные мысли, стресс, выгорание;Психотерапевт;2024-01-22T16:00;общий анализ крови + ЭЭГ;2024-01-24T14:00;2650 руб.;GAZPROMBANK | MASTERCARD | 1538 8321 4339 5788;2024-01-25T15:00
Сорокин Тимофей Николаевич;27 14 209968;303-492-478 51;изменение мочи, боль в пояснице, отеки;Нефролог;2024-08-07T16:00;УЗИ почек и мочевого пузыря + общий анализ мочи;2024-08-09T18:00;2790 руб.;GAZPROMBANK | MIR | 1755 5941 8296 2172;2024-08-12T13:30
Жуков Роман Александрович;AB5555492;810-551-746 38;мышечные подергивания, замедленная реакция;Невролог;2024-10-14T12:00;ЭЭГ;2024-10-17T13:00;1800 руб.;VTB BANK | MIR | 2607 5803 7282 5211;2024-10-18T14:00
Горшков Степан Георгиевич;81 13 388839;512-275-908 35;врожденные особенности, атипичные проявления, наследственные риски;Генетик;2024-05-15T11:00;генетический анализ + биохимический анализ крови;2024-05-20T11:00;12850 руб.;TINKOFF BANK | MASTERCARD | 8745 8244 4691 8996;2024-05-21T12:00
Ульянов Дамир Егорович;74 39 204249;703-136-274 49;отеки, повышение давления;Нефролог;2024-03-04T16:00;бактериологический посев мочи + общий анализ мочи + УЗИ почек и мочевого пузыря;2024-03-07T16:00;3690 руб.;MTS BANK | MASTERCARD | 5105 8689 9862 8873;2024-03-08T17:00
Антонов Тимофей Валентинович;32 28 170945;722-933-433 59;нарушение осанки, дискомфорт при ходьбе;Ортопед;2024-11-27T16:00;общий анализ крови + рентген грудной клетки + МРТ позвоночника;2024-11-29T10:00;8550 руб.;TINKOFF BANK | MASTERCARD | 1084 4050 5013 4759;2024-12-02T11:00
Шестаков Федор Дмитриевич;88 88 556571;654-906-114 66;ограничение подвижности, мышечное напряжение;Физиотерапевт;2024-07-15T11:00;ультразвуковая терапия;2024-07-17T15:30;450 руб.;GAZPROMBANK | VISA | 8120 9328 1352 4480;2024-07-18T16:30
Колобов Харитон Андреевич;94 18 559463;667-874-365 55;проблемы с весом;Диетолог;2024-12-11T10:00;биохимический анализ крови + общий анализ мочи;2024-12-13T16:30;1140 руб.;SBERBANK OF RUSSIA | MASTERCARD | 9541 4275 8567 1127;2024-12-16T17:30
Орлов Кирилл Эдуардович;84 19 487414;197-233-253 47;тревожные мысли, стресс;Психотерапевт;2024-04-29T16:00;общий анализ крови + ЭЭГ;2024-05-01T13:00;2650 руб.;VTB BANK | MASTERCARD | 7489 8280 3053 6265;2024-05-02T14:00
Коновалов Федор Давидович;61 32 764511;125-916-162 71;повышенная температура, вялость;Педиатр;2024-07-10T12:00;биохимический анализ крови + общий анализ мочи;2024-07-11T13:00;1140 руб.;SBERBANK OF RUSSIA | MIR | 9384 8523 9778 5602;2024-07-12T14:00
Сергеев Яков Андреевич;76 96 658582;950-278-490 89;длительная боль, уплотнения, необъяснимая потеря веса;Онколог;2024-04-29T08:00;онкомаркеры + общий анализ крови;2024-05-02T09:00;3250 руб.;GAZPROMBANK | MASTERCARD | 4342 2138 2000 3250;2024-05-03T10:00
Одинцов Руслан Максимович;40 10 508350;320-500-207 55;покраснение, воспаление, ограничение функции;Хирург;2024-04-23T12:00;биохимический анализ крови + общий анализ крови + УЗИ органов брюшной полости;2024-04-25T15:00;4200 руб.;SBERBANK OF RUSSIA | MASTERCARD | 9524 2930 2475 1278;2024-04-26T16:00
Павлов Илья Васильевич;45 91 519629;869-970-526 89;зубная боль, неприятный запах, чувствительность;Стоматолог;2024-01-22T14:00;общий анализ крови + рентген зубов + биохимический анализ крови;2024-01-24T14:00;2400 руб.;VTB BANK | VISA | 2306 4495 1424 8824;2024-01-25T15:00
Авдеев Арсений Тимурович;74 46 994322;671-955-522 32;отечность, слезоточивость;Аллерголог;2024-04-10T12:00;общий анализ крови + аллергопробы + биохимический анализ крови;2024-04-11T12:00;3700 руб.;TINKOFF BANK | MIR | 9670 6880 5545 1488;2024-04-12T13:00
Михайлов Олег Антонович;96 31 627146;152-554-547 18;трудности глотания, изжога;Эндоскопист;2024-03-06T10:00;колоноскопия + ФГДС + общий анализ крови;2024-03-07T16:00;13850 руб.;TINKOFF BANK | MIR | 1811 4653 6880 8853;2024-03-08T17:00
Лихачев Тимур Аркадьевич;17 35 501833;519-555-226 43;затрудненное дыхание;Пульмонолог;2024-10-03T08:00;общий анализ крови + рентген грудной клетки + спирометрия;2024-10-04T09:00;3850 руб.;GAZPROMBANK | MIR | 4978 2129 4402 5441;2024-10-07T10:00
Герасимов Денис Юрьевич;92 52 979278;206-661-676 97;утомляемость, мышечная слабость, замедленное восстановление;Реабилитолог;2024-11-06T08:00;консультация врача-реабилитолога + общий анализ крови + механотерапия;2024-11-08T09:00;6050 руб.;VTB BANK | MIR | 2612 7141 7280 1972;2024-11-11T10:00
Поляков Василий Григорьевич;N91587370;747-388-471 14;частые срыгивания, снижение активности, вялость;Неонатолог;2024-01-15T08:00;общий анализ крови + общий анализ мочи;2024-01-16T11:30;1140 руб.;TINKOFF BANK | MIR | 4545 7533 8553 2803;2024-01-17T12:30
Крюков Кирил Игоревич;18 95 309856;915-986-107 73;хроническая усталость, необъяснимая потеря веса;Онколог;2024-07-19T14:00;биохимический анализ крови;2024-07-22T16:00;850 руб.;TINKOFF BANK | MIR | 7114 5740 9334 4851;2024-07-23T17:00
Пестов Корней Захарович;48 35 491203;437-354-697 37;перепады настроения, тревожность, апатия;Психиатр;2024-07-04T12:00;общий анализ крови + психодиагностика + биохимический анализ крови;2024-07-08T15:30;6700 руб.;VTB BANK | MASTERCARD | 4547 7719 4014 1423;2024-07-09T16:30
Лыткин Харитон Григорьевич;47 98 723636;291-465-350 76;головокружение, одышка;Кардиолог;2024-11-07T13:00;общий анализ крови + эхокардиография;2024-11-11T09:30;5350 руб.;SBERBANK OF RUSSIA | MASTERCARD | 7337 4021 6710 2963;2024-11-12T10:30
Артемьев Александр Григорьевич;64 52 219663;514-416-407 77;мышечная слабость;Реабилитолог;2024-11-01T11:00;консультация врача-реабилитолога + механотерапия + общий анализ крови;2024-11-04T14:00;6050 руб.;VTB BANK | MIR | 7141 9116 2770 1755;2024-11-05T15:00
Маслов Тарас Сергеевич;49 64 428439;602-554-925 32;вялость, нестабильное дыхание, плохой набор веса;Неонатолог;2024-11-22T11:00;биохимический анализ крови + общий анализ крови;2024-11-25T16:00;1700 руб.;GAZPROMBANK | MASTERCARD | 5925 2501 4912 6292;2024-11-26T17:00
Антонов Федор Федорович;N77003125;545-590-791 69;щелчки при глотании, снижение слуха;Лор;2024-09-17T15:00;мазок из зева + аудиометрия + общий анализ крови;2024-09-19T13:00;2850 руб.;GAZPROMBANK | MIR | 3139 2749 7437 4866;2024-09-20T14:00
Царев Григорий Юрьевич;76 80 141451;949-478-312 31;заложенность;Лор;2024-04-08T12:00;аудиометрия + мазок из зева + общий анализ крови;2024-04-09T12:00;2850 руб.;GAZPROMBANK | MIR | 9958 2099 2645 8658;2024-04-10T13:00
Миронов Захар Кириллович;49 50 786724;327-929-706 27;дискомфорт в носоглотке, першение в горле;Лор;2024-03-05T13:00;общий анализ крови + аудиометрия;2024-03-07T13:30;2050 руб.;MTS BANK | MASTERCARD | 9704 2198 9269 7975;2024-03-08T14:30
